nam,ma_ck,ten_cong_ty,san,sl_tvhdqt,tv_hdqt_co_trinh_do_tcnh,tv_hdqt_khong_dh,tai_san_khong_sinh_loi,tv_bgd_tham_nien_5_nam,top_6,top_4,thoi_gian_ky_bao_cao,tong_tai_san,vcsh,nim,loi_nhuan_sau_thue,ty_le_no_xau,du_phong_rui_ro_tin_dung,du_no,tai_san_thanh_khoan,so_nam_hoat_dong,von_huy_dong,car
2012,MBB,Ngân hàng TMCP Quân Đội,HoSE,7,0,7,9.74E+12,5,0,0,65,1.76E+14,1.29E+13,0.04514881,2.31E+12,1.86,-1.31E+12,7.45E+13,6.30E+13,18,1.18E+14,11.15
2013,MBB,Ngân hàng TMCP Quân Đội,HoSE,9,1,9,1.59E+13,6,1,1,80,1.80E+14,1.51E+13,0.037073245,2.28E+12,2.46,-1.77E+12,8.77E+13,5.60E+13,19,1.36E+14,11
2014,MBB,Ngân hàng TMCP Quân Đội,HoSE,11,1,10,2.09E+13,4,1,1,82,2.00E+14,1.66E+13,0.038009836,2.48E+12,2.73,-2.46E+12,1.01E+14,7.24E+13,20,1.68E+14,10.07
2015,MBB,Ngân hàng TMCP Quân Đội,HoSE,10,1,9,1.50E+13,6,1,1,89,2.21E+14,2.32E+13,0.037955165,2.50E+12,1.62,-1.98E+12,1.21E+14,6.91E+13,21,1.82E+14,11.7
2016,MBB,Ngân hàng TMCP Quân Đội,HoSE,11,1,10,1.35E+13,6,1,1,83,2.56E+14,2.66E+13,0.035553804,2.86E+12,1.32,-2.05E+12,1.51E+14,7.02E+13,22,1.95E+14,12.5
2017,MBB,Ngân hàng TMCP Quân Đội,HoSE,11,1,10,1.83E+13,7,1,1,59,3.14E+14,2.96E+13,0.041675291,3.46E+12,1.2,-2.13E+12,1.84E+14,9.14E+13,23,2.20E+14,12
2018,MBB,Ngân hàng TMCP Quân Đội,HoSE,10,1,9,1.78E+13,7,1,1,51,3.62E+14,3.42E+13,0.04556749,6.11E+12,1.33,-3.21E+12,2.15E+14,1.17E+14,24,2.40E+14,10.9
2007,MSB,Ngân hàng TMCP Hàng hải Việt Nam,OTC,,,,3.84E+11,,0,0,67,1.76E+13,1.88E+12,0.027770604,1.73E+11,2.08,-34479000000,6.53E+12,1.07E+13,16,7.37E+12,N/a
2008,MSB,Ngân hàng TMCP Hàng hải Việt Nam,OTC,7,2,6,1.23E+12,0,0,0,46,3.26E+13,1.87E+12,0.029901432,3.17E+11,1.49,-85618000000,1.12E+13,2.00E+13,17,1.41E+13,N/a
2009,MSB,Ngân hàng TMCP Hàng hải Việt Nam,OTC,7,2,6,2.88E+12,0,0,0,290,6.39E+13,3.55E+12,0.027672178,7.73E+11,0.62,-1.73E+11,2.39E+13,3.31E+13,18,3.01E+13,N/a
2010,MSB,Ngân hàng TMCP Hàng hải Việt Nam,OTC,8,4,7,2.41E+13,0,0,0,71,1.15E+14,6.33E+12,0.025217699,1.16E+12,1.87,-3.08E+11,3.18E+13,5.94E+13,19,4.86E+13,9.19
2011,MSB,Ngân hàng TMCP Hàng hải Việt Nam,OTC,5,3,5,1.28E+13,0,0,0,264,1.14E+14,9.50E+12,0.016150499,7.97E+11,2.27,-3.65E+11,3.78E+13,6.37E+13,20,6.23E+13,10.58
2012,MSB,Ngân hàng TMCP Hàng hải Việt Nam,OTC,5,3,5,1.71E+13,0,0,0,79,1.10E+14,9.09E+12,0.02066974,2.26E+11,2.65,-7.51E+11,2.89E+13,5.29E+13,21,5.96E+13,11.31
2013,MSB,Ngân hàng TMCP Hàng hải Việt Nam,OTC,,,,2.08E+13,,0,0,87,1.07E+14,9.41E+12,0.018021906,3.30E+11,2.71,-7.33E+11,2.74E+13,3.90E+13,22,6.55E+13,10.56
2014,MSB,Ngân hàng TMCP Hàng hải Việt Nam,OTC,,,,2.04E+13,,0,0,89,1.04E+14,9.45E+12,0.013784123,1.43E+11,2.61,-5.43E+11,2.35E+13,4.44E+13,23,6.32E+13,15.7
2015,MSB,Ngân hàng TMCP Hàng hải Việt Nam,OTC,5,2,5,1.31E+13,0,0,0,90,1.04E+14,1.36E+13,0.018114202,1.16E+11,2.16,-6.01E+11,2.81E+13,4.50E+13,24,6.26E+13,24.53
2016,MSB,Ngân hàng TMCP Hàng hải Việt Nam,OTC,4,2,4,1.48E+13,2,0,0,125,9.26E+13,1.36E+13,0.026656126,1.40E+11,2.17,-4.52E+11,3.51E+13,3.03E+13,25,5.76E+13,23.59
2017,MSB,Ngân hàng TMCP Hàng hải Việt Nam,OTC,4,1,3,1.76E+13,3,0,0,138,1.12E+14,1.37E+13,0.018585079,1.22E+11,2.17,-4.29E+11,3.62E+13,4.81E+13,26,5.68E+13,19.48
2018,MSB,Ngân hàng TMCP Hàng hải Việt Nam,OTC,6,0,5,2.21E+13,2,1,1,91,1.38E+14,1.38E+13,0.02760365,8.68E+11,N/a,-9.94E+11,4.88E+13,5.83E+13,27,6.35E+13,12.17
2007,NamABank,Ngân hàng TMCP Nam Á,OTC,4,1,4,7.97E+11,0,0,0,94,5.24E+12,6.67E+11,0.038855831,75106039587,1.64,-8062712488,2.70E+12,1.83E+12,15,2.80E+12,21.07
2008,NamABank,Ngân hàng TMCP Nam Á,OTC,4,1,4,1.18E+12,0,0,0,98,5.89E+12,1.29E+12,0.022032465,9710197737,2.56,-19791826327,3.75E+12,1.00E+12,16,3.41E+12,29.81
2009,NamABank,Ngân hàng TMCP Nam Á,OTC,4,1,4,1.48E+12,0,0,0,55,1.09E+13,1.34E+12,0.028632797,56259756014,1.71,-25691225356,5.01E+12,3.72E+12,17,4.50E+12,19.24
2010,NamABank,Ngân hàng TMCP Nam Á,OTC,4,1,4,3.68E+12,1,0,0,81,1.45E+13,2.17E+12,0.025880373,1.39E+11,2.18,-54368564736,5.30E+12,4.11E+12,18,5.78E+12,18.04
2011,NamABank,Ngân hàng TMCP Nam Á,OTC,6,2,5,5.19E+12,3,0,0,90,1.89E+13,3.15E+12,0.038641116,2.41E+11,2.84,-52679191991,6.94E+12,5.84E+12,19,0,20.29
2012,NamABank,Ngân hàng TMCP Nam Á,OTC,7,2,6,3.56E+12,3,0,0,35,1.60E+13,3.28E+12,0.034265118,1.81E+11,2.7,-69622438662,6.85E+12,3.98E+12,20,8.73E+12,21.44
2013,NamABank,Ngân hàng TMCP Nam Á,OTC,8,2,7,3.26E+12,4,0,0,79,2.88E+13,3.26E+12,0.02112806,1.35E+11,1.48,-76467702871,1.16E+13,7.26E+12,21,1.37E+13,13.47
2014,NamABank,Ngân hàng TMCP Nam Á,OTC,6,2,4,3.54E+12,4,0,0,58,3.73E+13,3.33E+12,0.023014522,1.87E+11,1.4,-1.50E+11,1.59E+13,1.30E+13,22,2.03E+13,10.66
2015,NamABank,Ngân hàng TMCP Nam Á,OTC,5,2,3,2.73E+12,4,0,0,70,3.55E+13,3.41E+12,0.029468663,1.94E+11,0.91,-1.95E+11,2.09E+13,9.62E+12,23,2.44E+13,12.92
2016,NamABank,Ngân hàng TMCP Nam Á,OTC,5,2,3,5.32E+12,3,0,0,107,4.29E+13,3.43E+12,0.032689094,32863000000,2.94,-3.90E+11,2.40E+13,8.11E+12,24,3.41E+13,11.18
2017,NamABank,Ngân hàng TMCP Nam Á,OTC,6,2,5,1.85E+12,2,0,0,99,5.44E+13,3.67E+12,0.02632185,2.39E+11,1.95,-8.43E+11,3.63E+13,1.06E+13,25,3.99E+13,12.63
2018,NamABank,Ngân hàng TMCP Nam Á,OTC,6,2,5,2.33E+12,2,1,1,57,7.51E+13,4.23E+12,0.027236522,5.91E+11,1.54,-7.72E+11,5.08E+13,1.67E+13,26,5.42E+13,11.15
2007,NVB,Ngân hàng TMCP Quốc Dân (NCB),HNX,7,0,5,6.49E+11,0,0,0,59,9.90E+12,5.79E+11,0.015112177,74733459801,0.16,-6095385812,4.36E+12,4.89E+12,12,6.14E+12,N/a
2008,NVB,Ngân hàng TMCP Quốc Dân (NCB),HNX,7,0,6,8.95E+11,0,0,0,132,1.09E+13,1.08E+12,0.022048883,57144738538,2.91,-21942031358,5.47E+12,4.52E+12,13,6.02E+12,14
2009,NVB,Ngân hàng TMCP Quốc Dân (NCB),HNX,7,0,6,1.05E+12,0,0,0,90,1.87E+13,1.17E+12,0.020756376,1.42E+11,2.45,-95404221069,9.96E+12,5.58E+12,14,9.63E+12,8.87
2010,NVB,Ngân hàng TMCP Quốc Dân (NCB),HNX,7,0,6,2.68E+12,0,0,0,90,2.00E+13,2.02E+12,0.028030755,1.57E+11,2.24,-1.28E+11,1.08E+13,4.87E+12,15,1.07E+13,19.47
2011,NVB,Ngân hàng TMCP Quốc Dân (NCB),HNX,7,0,6,3.70E+12,0,0,0,86,2.25E+13,3.22E+12,0.040958018,1.66E+11,2.92,-1.59E+11,1.29E+13,4.18E+12,16,1.48E+13,17.18
2012,NVB,Ngân hàng TMCP Quốc Dân (NCB),HNX,7,0,6,4.53E+12,4,0,0,112,2.16E+13,3.18E+12,0.040851696,2174268036,5.64,-2.19E+11,1.29E+13,2.15E+12,17,1.23E+13,19.09
2013,NVB,Ngân hàng TMCP Quốc Dân (NCB),HNX,5,0,4,5.77E+12,5,0,0,90,2.91E+13,3.20E+12,0.029535125,18454083665,6.07,-2.09E+11,1.35E+13,7.06E+12,18,1.84E+13,16.03
2014,NVB,Ngân hàng TMCP Quốc Dân (NCB),HNX,6,0,4,7.54E+12,3,0,0,90,3.68E+13,3.21E+12,0.022830104,8134266795,2.52,-1.95E+11,1.66E+13,8.69E+12,19,2.44E+13,10.83
2015,NVB,Ngân hàng TMCP Quốc Dân (NCB),HNX,6,0,5,9.52E+12,1,0,0,88,4.82E+13,3.22E+12,0.022433364,6490161635,2.15,-2.09E+11,2.04E+13,1.23E+13,20,3.40E+13,11.08
2016,NVB,Ngân hàng TMCP Quốc Dân (NCB),HNX,5,0,4,1.14E+13,2,0,0,89,6.90E+13,3.23E+12,0.019782276,10838000000,1.48,-2.90E+11,2.54E+13,2.20E+13,21,4.18E+13,10.58
2017,NVB,Ngân hàng TMCP Quốc Dân (NCB),HNX,5,0,4,1.24E+13,3,0,0,89,7.18E+13,3.22E+12,0.019089851,21955000000,1.54,-3.59E+11,3.21E+13,1.89E+13,22,4.57E+13,9.27
2018,NVB,Ngân hàng TMCP Quốc Dân (NCB),HNX,8,1,5,1.23E+13,3,0,0,87,7.24E+13,3.23E+12,0.016404927,36240000000,1.67,-3.93E+11,3.57E+13,1.71E+13,23,4.71E+13,9.58
2007,OCB,Ngân hàng TMCP Phương Đông,OTC,,,,1.03E+12,,0,0,53,1.18E+13,1.66E+12,0.044046917,1.69E+11,1.39,-42132000000,7.56E+12,3.29E+12,11,5.77E+12,20.78
2008,OCB,Ngân hàng TMCP Phương Đông,OTC,6,0,6,9.14E+11,0,0,0,84,1.01E+13,1.59E+12,0.026162089,65033000000,2.87,-69826000000,8.60E+12,5.14E+11,12,6.80E+12,21.64
2009,OCB,Ngân hàng TMCP Phương Đông,OTC,7,0,7,1.09E+12,0,0,0,56,1.27E+13,2.33E+12,0.045604482,2.06E+11,2.64,-1.07E+11,1.02E+13,1.37E+12,13,8.05E+12,28.71
2010,OCB,Ngân hàng TMCP Phương Đông,OTC,7,0,7,2.20E+12,2,0,0,26,1.97E+13,3.14E+12,0.043227086,3.04E+11,2.05,-1.05E+11,1.16E+13,5.05E+12,14,8.69E+12,20.59
2011,OCB,Ngân hàng TMCP Phương Đông,OTC,,,,3.34E+12,,0,0,305,2.54E+13,3.75E+12,0.045400499,3.03E+11,2.8,-1.74E+11,1.38E+13,5.47E+12,15,9.79E+12,24.88
2012,OCB,Ngân hàng TMCP Phương Đông,OTC,7,0,7,3.82E+12,0,0,0,88,2.74E+13,3.82E+12,0.05187891,2.30E+11,2.8,-3.11E+11,1.72E+13,6.19E+12,16,1.53E+13,N/a
2013,OCB,Ngân hàng TMCP Phương Đông,OTC,7,0,7,2.74E+12,1,0,0,87,3.28E+13,3.96E+12,0.046868437,2.41E+11,2.9,-2.05E+11,2.02E+13,9.57E+12,17,1.91E+13,N/a
2014,OCB,Ngân hàng TMCP Phương Đông,OTC,7,1,7,2.15E+12,1,0,0,84,3.91E+13,4.02E+12,0.03209749,2.21E+11,3,-3.04E+11,2.15E+13,1.26E+13,18,2.39E+13,N/a
2015,OCB,Ngân hàng TMCP Phương Đông,OTC,5,0,5,2.60E+12,2,0,0,85,4.94E+13,4.23E+12,0.031773191,2.09E+11,1.95,-2.41E+11,2.77E+13,1.78E+13,19,2.95E+13,N/a
2016,OCB,Ngân hàng TMCP Phương Đông,OTC,5,0,5,2.78E+12,4,0,0,83,6.38E+13,4.72E+12,0.030786981,3.87E+11,1.51,-3.32E+11,3.85E+13,1.95E+13,20,4.31E+13,N/a
2017,OCB,Ngân hàng TMCP Phương Đông,OTC,5,2,5,5.81E+12,5,0,0,74,8.43E+13,6.14E+12,0.03441748,8.17E+11,1.48,-4.04E+11,4.82E+13,3.20E+13,21,5.32E+13,N/a
2018,OCB,Ngân hàng TMCP Phương Đông,OTC,5,2,5,4.48E+12,5,1,1,77,1.00E+14,8.80E+12,0.039499519,1.76E+12,1.87,-5.65E+11,5.63E+13,3.85E+13,22,6.04E+13,12.04
2007,PGBank,Ngân hàng TMCP Xăng dầu Petrolimex,OTC,,,,6.55E+11,,0,0,101,4.68E+12,5.43E+11,0.028158156,40920332907,-,-3887403383,1.92E+12,2.16E+12,14,1.31E+12,19.76
2008,PGBank,Ngân hàng TMCP Xăng dầu Petrolimex,OTC,,,,7.93E+11,,0,0,73,6.18E+12,1.03E+12,0.029419971,65536496711,1.4,-17726910966,2.37E+12,3.17E+12,15,2.20E+12,26.94
2009,PGBank,Ngân hàng TMCP Xăng dầu Petrolimex,OTC,,,,7.15E+11,,0,0,90,1.04E+13,1.09E+12,0.039036091,1.75E+11,1.23,-47076064683,6.27E+12,3.37E+12,16,6.90E+12,12.9
2010,PGBank,Ngân hàng TMCP Xăng dầu Petrolimex,OTC,,,,1.69E+12,,0,0,90,1.64E+13,2.17E+12,0.042366278,2.19E+11,1.42,-1.05E+11,1.09E+13,2.02E+12,17,1.07E+13,20.6
2011,PGBank,Ngân hàng TMCP Xăng dầu Petrolimex,OTC,,,,1.23E+12,,0,0,91,1.76E+13,2.59E+12,0.07063483,4.46E+11,2.06,-1.84E+11,1.21E+13,4.24E+12,18,1.09E+13,16.7
2012,PGBank,Ngân hàng TMCP Xăng dầu Petrolimex,OTC,,,,6.69E+11,,0,0,88,1.93E+13,3.19E+12,0.056150387,2.40E+11,8.44,-3.18E+11,1.38E+13,3.18E+12,19,1.23E+13,22.6
2013,PGBank,Ngân hàng TMCP Xăng dầu Petrolimex,OTC,,,,1.00E+12,,0,0,76,2.49E+13,3.21E+12,0.025540637,38201899810,2.98,-1.87E+11,1.39E+13,9.25E+12,20,1.39E+13,19.1
2014,PGBank,Ngân hàng TMCP Xăng dầu Petrolimex,OTC,,,,1.05E+12,,0,0,85,2.58E+13,3.34E+12,0.027016425,1.31E+11,2.48,-1.73E+11,1.45E+13,8.88E+12,21,1.80E+13,17.1
2015,PGBank,Ngân hàng TMCP Xăng dầu Petrolimex,OTC,9,0,7,9.15E+11,0,0,0,91,2.47E+13,3.37E+12,0.027022192,40808000000,2.68,-1.78E+11,1.59E+13,5.82E+12,22,1.69E+13,21.4
2016,PGBank,Ngân hàng TMCP Xăng dầu Petrolimex,OTC,9,0,7,7.70E+11,0,0,0,90,2.48E+13,3.50E+12,0.029081116,1.23E+11,2.47,-1.75E+11,1.75E+13,4.29E+12,23,1.83E+13,18.13
2017,PGBank,Ngân hàng TMCP Xăng dầu Petrolimex,OTC,8,0,5,6.91E+11,0,0,0,89,2.93E+13,3.56E+12,0.02976076,64505042307,3.23,-2.28E+11,2.14E+13,4.96E+12,24,2.29E+13,14.89
2018,PGBank,Ngân hàng TMCP Xăng dầu Petrolimex,OTC,9,0,5,1.05E+12,0,0,0,88,2.99E+13,3.69E+12,0.029509848,1.27E+11,3.06,-2.25E+11,2.21E+13,4.99E+12,25,2.33E+13,14.55
2007,PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,OTC,,,,,,0,0,,,,,,-,,,,,,-
2008,PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,OTC,,,,,,0,0,,,,,,-,,,,,,-
2009,PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,OTC,,,,,,0,0,,,,,,-,,,,,,-
2010,PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,OTC,,,,,,0,0,,,,,,-,,,,,,-
2011,PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,OTC,,,,,,0,0,,,,,,-,,,,,,-
2012,PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,OTC,,,,,,0,0,,,,,,4.42,,,,,,-
2013,PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,OTC,7,0,7,3.14E+13,0,0,0,74,1.01E+14,9.69E+12,,27909039137,5.06,-1.42E+12,4.18E+13,1.86E+13,0,4.92E+13,12.95
2014,PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,OTC,7,0,7,2.32E+13,0,0,0,117,1.08E+14,9.69E+12,-0.006770953,1.52E+11,2.67,-1.08E+12,4.30E+13,3.06E+13,1,7.10E+13,11.35
2015,PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,OTC,7,0,7,2.55E+13,0,0,0,,9.86E+13,1.01E+13,0.005180581,72103000000,1.9,-5.88E+11,4.02E+13,2.90E+13,2,6.47E+13,N/a
2016,PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,OTC,6,2,6,2.76E+13,0,0,0,,1.14E+14,9.93E+12,0.01091342,65538000000,1.38,-8.22E+11,5.00E+13,2.95E+13,3,8.36E+13,N/a
2017,PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,OTC,7,1,6,2.61E+13,4,0,0,,1.27E+14,1.01E+13,0.012413275,88150000000,1.75,-8.99E+11,5.91E+13,3.73E+13,4,8.87E+13,N/a
2018,PVcomBank,Ngân hàng TMCP Đại chúng Việt Nam,OTC,7,1,6,3.00E+13,6,0,0,90,1.41E+14,1.02E+13,0.009605732,84473000000,<2,-1.00E+12,7.00E+13,3.96E+13,5,1.03E+14,N/a
2007,SCB,Ngân hàng TMCP Sài Gòn,OTC,4,1,2,2.19E+12,0,0,0,,2.60E+13,2.67E+12,0.026376509,2.60E+11,0.34,-81163000000,1.95E+13,4.38E+12,15,1.60E+13,11-17.98
2008,SCB,Ngân hàng TMCP Sài Gòn,OTC,4,2,2,5.90E+12,0,0,0,22,3.86E+13,2.81E+12,0.036034402,4.64E+11,0.57,-1.78E+11,2.33E+13,9.42E+12,16,2.30E+13,9.91
2009,SCB,Ngân hàng TMCP Sài Gòn,OTC,4,2,2,9.22E+12,0,0,0,76,5.45E+13,4.58E+12,0.02135984,3.15E+11,1.28,-3.41E+11,3.13E+13,1.40E+13,17,3.01E+13,11.54
2010,SCB,Ngân hàng TMCP Sài Gòn,OTC,4,1,4,1.51E+13,0,0,0,59,6.02E+13,4.71E+12,0.010206546,2.78E+11,11.4,-7.69E+11,3.32E+13,1.19E+13,18,3.51E+13,10.32
2011,SCB,Ngân hàng TMCP Sài Gòn,OTC,,,,5.73E+13,,0,0,,1.45E+14,1.13E+13,0,0,N/a,-1.65E+12,6.61E+13,1.44E+13,19,5.86E+13,-
2012,SCB,Ngân hàng TMCP Sài Gòn,OTC,9,1,8,4.46E+13,1,0,0,87,1.49E+14,1.14E+13,0.033276107,63835000000,7.23,-9.89E+11,8.82E+13,8.13E+12,20,7.92E+13,10.35
2013,SCB,Ngân hàng TMCP Sài Gòn,OTC,6,0,5,5.57E+13,1,0,0,27,1.81E+14,1.31E+13,0.017247873,42573000000,1.6,-6.54E+11,8.90E+13,1.79E+13,21,1.47E+14,9.95
2014,SCB,Ngân hàng TMCP Sài Gòn,OTC,5,0,4,4.66E+13,1,0,0,58,2.42E+14,1.32E+13,0.012746489,90237000000,0.49,-7.28E+11,1.34E+14,4.21E+13,22,1.99E+14,9.39
2015,SCB,Ngân hàng TMCP Sài Gòn,OTC,6,0,5,5.10E+13,1,0,0,75,3.12E+14,1.52E+13,0.019772954,76406000000,0.34,-1.23E+12,1.70E+14,6.22E+13,23,2.56E+14,9.95
2016,SCB,Ngân hàng TMCP Sài Gòn,OTC,5,1,4,5.81E+13,4,0,0,83,3.62E+14,1.55E+13,0.010404695,75269000000,0.68,-2.11E+12,2.22E+14,5.68E+13,24,2.95E+14,11.17
2017,SCB,Ngân hàng TMCP Sài Gòn,OTC,7,2,5,6.69E+13,8,0,0,75,4.44E+14,1.54E+13,0.00555708,1.20E+11,0.45,-2.35E+12,2.67E+14,7.65E+13,25,3.46E+14,N/a
2018,SCB,Ngân hàng TMCP Sài Gòn,OTC,7,3,4,1.10E+14,6,1,1,88,5.09E+14,1.64E+13,0.00748672,1.69E+11,0.42,-2.72E+12,3.02E+14,6.51E+13,26,3.85E+14,0
2007,SeABank,Ngân hàng TMCP Đông Nam Á,OTC,5,2,3,2.14E+12,0,0,0,80,2.62E+13,3.37E+12,0.028389669,2.99E+11,0.24,-46274923746,1.10E+13,1.17E+13,13,1.07E+13,N/a
2008,SeABank,Ngân hàng TMCP Đông Nam Á,OTC,5,2,3,3.28E+12,0,0,0,110,2.25E+13,4.18E+12,0.029580791,3.21E+11,2.14,-78917000000,7.59E+12,1.19E+13,14,8.59E+12,N/a
2009,SeABank,Ngân hàng TMCP Đông Nam Á,OTC,10,3,8,2.80E+12,0,0,0,,3.06E+13,5.48E+12,0.030706225,4.60E+11,1.88,-1.61E+11,9.63E+12,1.76E+13,15,1.23E+13,N/a
2010,SeABank,Ngân hàng TMCP Đông Nam Á,OTC,10,3,7,3.81E+12,0,0,0,,5.52E+13,5.74E+12,0.028383616,6.29E+11,2.14,-3.23E+11,2.17E+13,3.04E+13,16,2.48E+13,13.72
2011,SeABank,Ngân hàng TMCP Đông Nam Á,OTC,10,2,6,6.33E+12,2,0,0,,1.01E+14,5.54E+12,0.011627454,1.26E+11,2.75,-3.28E+11,1.96E+13,7.40E+13,17,3.44E+13,13.29
2012,SeABank,Ngân hàng TMCP Đông Nam Á,OTC,10,2,6,7.54E+12,4,0,0,,7.51E+13,5.58E+12,0.014272442,52744000000,2.97,-4.64E+11,1.67E+13,4.72E+13,18,3.14E+13,15.5
2013,SeABank,Ngân hàng TMCP Đông Nam Á,OTC,10,2,8,8.03E+12,4,0,0,88,7.99E+13,5.73E+12,0.012372995,1.52E+11,2.74,-5.06E+11,2.09E+13,2.47E+13,19,3.62E+13,14.29
2014,SeABank,Ngân hàng TMCP Đông Nam Á,OTC,10,2,8,6.27E+12,4,0,0,90,8.02E+13,5.68E+12,0.009938213,86878000000,2.86,-4.98E+11,3.21E+13,2.88E+13,20,4.50E+13,17.61
2015,SeABank,Ngân hàng TMCP Đông Nam Á,OTC,9,0,7,6.31E+12,4,0,0,90,8.48E+13,5.77E+12,0.015050725,91885000000,1.6,-3.66E+11,4.28E+13,2.73E+13,21,5.70E+13,17.55
2016,SeABank,Ngân hàng TMCP Đông Nam Á,OTC,9,0,8,6.45E+12,4,0,0,89,1.03E+14,5.88E+12,0.021020235,1.17E+11,1.84,-5.44E+11,5.90E+13,2.86E+13,22,7.21E+13,15.59
2017,SeABank,Ngân hàng TMCP Đông Nam Á,OTC,7,1,5,1.07E+13,6,0,0,90,1.25E+14,6.17E+12,0.01867803,3.05E+11,0.91,-6.04E+11,7.05E+13,4.13E+13,23,8.00E+13,13.39
2018,SeABank,Ngân hàng TMCP Đông Nam Á,OTC,7,1,6,1.40E+13,4,1,1,70,1.40E+14,8.30E+12,0.019415933,4.93E+11,1.57,-9.02E+11,8.39E+13,4.32E+13,24,8.43E+13,12.6
2007,SGB,Ngân hàng TMCP Sài Gòn Công Thương,OTC,,,,5.07E+11,,0,0,,1.02E+13,1.43E+12,0.046403995,1.71E+11,0.42,-62944771081,7.36E+12,1.77E+12,20,6.47E+12,N/a
2008,SGB,Ngân hàng TMCP Sài Gòn Công Thương,OTC,6,0,6,8.92E+11,0,0,0,75,1.12E+13,1.47E+12,0.031150218,1.61E+11,0.69,-71925756550,7.92E+12,1.92E+12,21,7.16E+12,14.42
2009,SGB,Ngân hàng TMCP Sài Gòn Công Thương,OTC,6,0,6,1.00E+12,0,0,0,15,1.19E+13,1.93E+12,0.048341965,2.10E+11,1.78,-1.22E+11,9.72E+12,6.05E+11,22,8.48E+12,15.87
2010,SGB,Ngân hàng TMCP Sài Gòn Công Thương,OTC,5,0,5,2.16E+12,0,0,0,59,1.68E+13,3.53E+12,0.044848351,7.95E+11,1.91,-1.46E+11,1.05E+13,2.98E+12,23,9.07E+12,N/a
2011,SGB,Ngân hàng TMCP Sài Gòn Công Thương,OTC,5,0,5,1.36E+12,0,0,0,46,1.54E+13,3.30E+12,0.058769877,3.04E+11,4.75,-2.37E+11,1.12E+13,1.66E+12,24,8.93E+12,22.83
2012,SGB,Ngân hàng TMCP Sài Gòn Công Thương,OTC,5,0,4,1.60E+12,3,0,0,84,1.49E+13,3.54E+12,0.070947446,2.97E+11,2.93,-1.09E+11,1.09E+13,1.70E+12,25,1.05E+13,23.94
2013,SGB,Ngân hàng TMCP Sài Gòn Công Thương,OTC,7,0,6,1.55E+12,2,0,0,76,1.47E+13,3.50E+12,0.051988385,1.73E+11,2.42,-1.02E+11,1.07E+13,1.38E+12,26,1.08E+13,24.05
2014,SGB,Ngân hàng TMCP Sài Gòn Công Thương,OTC,7,0,6,1.71E+12,4,0,0,64,1.58E+13,3.49E+12,0.04960507,1.81E+11,2.08,-92901666489,1.12E+13,1.40E+12,27,1.18E+13,22.03
2015,SGB,Ngân hàng TMCP Sài Gòn Công Thương,OTC,5,0,4,1.52E+12,4,0,0,,1.77E+13,3.39E+12,0.041053838,43114000000,1.88,-91837000000,1.16E+13,1.85E+12,28,1.31E+13,19.98
2016,SGB,Ngân hàng TMCP Sài Gòn Công Thương,OTC,5,0,4,1.48E+12,4,0,0,79,1.90E+13,3.51E+12,0.037426953,1.39E+11,2.63,-1.03E+11,1.25E+13,2.36E+12,29,1.42E+13,23.36
2017,SGB,Ngân hàng TMCP Sài Gòn Công Thương,OTC,6,0,4,1.38E+12,5,0,0,85,2.13E+13,3.42E+12,0.035012325,54595000000,2.97,-1.17E+11,1.41E+13,3.86E+12,30,1.48E+13,19
2018,SGB,Ngân hàng TMCP Sài Gòn Công Thương,OTC,4,0,4,1.42E+12,3,0,0,60,2.04E+13,3.43E+12,0.03396489,41631000000,2.19,-1.12E+11,1.37E+13,3.12E+12,31,1.47E+13,22.16
2007,SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,HNX,4,2,3,2.21E+12,0,0,0,77,1.24E+13,2.18E+12,0.015787519,1.27E+11,0.5,-8083157182,4.18E+12,5.60E+12,14,2.80E+12,-
2008,SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,HNX,6,2,5,3.01E+12,0,0,0,62,1.44E+13,2.27E+12,0.014941077,1.95E+11,1.89,-25540939794,6.25E+12,4.61E+12,15,9.51E+12,25.8
2009,SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,HNX,6,2,5,2.49E+12,0,0,0,89,2.75E+13,2.42E+12,0.035399662,3.18E+11,2.79,-1.27E+11,1.28E+13,1.06E+13,16,1.47E+13,17.06
2010,SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,HNX,7,2,6,5.73E+12,0,0,0,46,5.10E+13,4.18E+12,0.034608358,4.94E+11,1.4,-2.73E+11,2.44E+13,1.97E+13,17,2.56E+13,13.81
